type	latitude	longitude	altitude (m)	name	desc	kml_folder
T	45.630654136	9.292018094	191.0			
T	45.630661799	9.292083975	191.0			
T	45.630671055	9.292135792	191.0			
T	45.630679644	9.292186423	191.0			
T	45.630684655	9.292229724	191.0			
T	45.630693862	9.292278319	190.9			
T	45.630698689	9.292317606	190.8			
T	45.630707487	9.292358402	190.8			
T	45.630713989	9.292397021	190.7			
T	45.630725094	9.292464041	190.7			
T	45.630733812	9.292512924	190.6			
T	45.630744123	9.292561388	190.7			
T	45.630754340	9.292625981	190.7			
T	45.630763861	9.292667578	190.8			
T	45.630773132	9.292725960	190.8			
T	45.630784587	9.292780908	190.8			
T	45.630814633	9.292902708	190.5			
T	45.630835927	9.292984011	190.3			
T	45.630860339	9.293076838	190.0			
T	45.630876345	9.293160963	190.0			
T	45.630894453	9.293228534	190.0			
T	45.630907337	9.293291341	190.0			
T	45.630923518	9.293362655	190.0			
T	45.630955662	9.293495389	190.0			
T	45.630980720	9.293603322	190.0			
T	45.631008264	9.293712727	190.0			
T	45.631037486	9.293844447	190.0			
T	45.631068979	9.293964816	190.0			
T	45.631095480	9.294090280	190.0			
T	45.631114263	9.294171293	190.0			
T	45.631138342	9.294272267	190.0			
T	45.631163069	9.294373358	190.0			
T	45.631182219	9.294459790	190.0			
T	45.631200563	9.294542105	190.0			
T	45.631220086	9.294627394	190.0			
T	45.631237006	9.294702340	190.0			
T	45.631252019	9.294760779	189.9			
T	45.631264988	9.294815160	189.9			
T	45.631278820	9.294878784	189.8			
T	45.631285553	9.294914698	189.7			
T	45.631295419	9.294954313	189.7			
T	45.631306456	9.294997852	189.7			
T	45.631319934	9.295048792	189.8			
T	45.631330245	9.295095072	189.8			
T	45.631342600	9.295151418	189.8			
T	45.631354752	9.295203501	189.9			
T	45.631364077	9.295248101	189.9			
T	45.631375349	9.295302880	190.0			
T	45.631386818	9.295355560	190.0			
T	45.631397929	9.295413041	190.0			
T	45.631408531	9.295481553	190.0			
T	45.631414913	9.295544645	190.0			
T	45.631417542	9.295607763	190.0			
T	45.631418003	9.295676885	190.0			
T	45.631413430	9.295741604	189.9			
T	45.631409045	9.295787674	189.9			
T	45.631404737	9.295822145	189.9			
T	45.631398802	9.295861269	190.0			
T	45.631389970	9.295912035	190.0			
T	45.631380516	9.295953400	190.0			
T	45.631371051	9.295990576	189.9			
T	45.631358719	9.296028713	189.9			
T	45.631351468	9.296060150	189.9			
T	45.631341991	9.296087743	189.8			
T	45.631331172	9.296116799	189.8			
T	45.631321635	9.296142716	189.8			
T	45.631310976	9.296166510	189.7			
T	45.631295174	9.296197811	189.7			
T	45.631276378	9.296235742	189.6			
T	45.631260824	9.296268468	189.5			
T	45.631246527	9.296289496	189.5			
T	45.631223344	9.296325587	189.4			
T	45.631203780	9.296354563	189.3			
T	45.631181801	9.296383899	189.3			
T	45.631163094	9.296408155	189.2			
T	45.631140015	9.296435949	189.1			
T	45.631118184	9.296457838	189.0			
T	45.631099356	9.296481174	189.0			
T	45.631072288	9.296503603	188.9			
T	45.631046532	9.296525286	188.9			
T	45.631020817	9.296544458	188.8			
T	45.630997304	9.296562341	188.7			
T	45.630969208	9.296579337	188.7			
T	45.630946251	9.296592338	188.6			
T	45.630921415	9.296603380	188.5			
T	45.630903548	9.296611233	188.4			
T	45.630885035	9.296618433	188.3			
T	45.630867928	9.296626380	188.3			
T	45.630854215	9.296633990	188.2			
T	45.630839992	9.296642059	188.1			
T	45.630822319	9.296648885	188.1			
T	45.630808441	9.296652625	188.1			
T	45.630793342	9.296656573	188.0			
T	45.630762466	9.296661495	188.0			
T	45.630734440	9.296667340	188.0			
T	45.630705042	9.296672244	188.0			
T	45.630674821	9.296676241	188.0			
T	45.630643409	9.296679402	188.0			
T	45.630614999	9.296683552	188.1			
T	45.630590019	9.296686022	188.1			
T	45.630563420	9.296690978	188.1			
T	45.630543688	9.296693634	188.1			
T	45.630517257	9.296697912	188.1			
T	45.630480283	9.296701697	188.1			
T	45.630453850	9.296702926	188.1			
T	45.630422403	9.296708315	188.1			
T	45.630390046	9.296712444	188.1			
T	45.630361135	9.296715267	188.1			
T	45.630337627	9.296718209	188.0			
T	45.630317282	9.296721490	188.0			
T	45.630298605	9.296726045	188.0			
T	45.630262373	9.296730445	188.0			
T	45.630229585	9.296733412	188.0			
T	45.630191734	9.296737693	188.0			
T	45.630160959	9.296743064	188.0			
T	45.630135581	9.296746199	188.0			
T	45.630110779	9.296749272	188.0			
T	45.630081132	9.296754201	188.0			
T	45.630047639	9.296757395	188.0			
T	45.630016950	9.296762029	188.0			
T	45.629987238	9.296765141	188.0			
T	45.629959329	9.296767966	188.0			
T	45.629933473	9.296770040	188.0			
T	45.629907123	9.296774251	188.0			
T	45.629879299	9.296775225	188.0			
T	45.629855598	9.296774858	188.0			
T	45.629829654	9.296775594	188.0			
T	45.629805217	9.296776597	188.0			
T	45.629781281	9.296776308	188.0			
T	45.629745319	9.296780831	188.0			
T	45.629692557	9.296788194	188.0			
T	45.629636989	9.296794586	188.0			
T	45.629588682	9.296800675	188.0			
T	45.629547386	9.296806956	188.0			
T	45.629514607	9.296810393	188.0			
T	45.629486836	9.296812498	188.0			
T	45.629464547	9.296818713	188.0			
T	45.629441310	9.296819848	188.0			
T	45.629420084	9.296823307	188.0			
T	45.629395503	9.296828102	188.0			
T	45.629343550	9.296835885	188.0			
T	45.629278744	9.296840679	188.0			
T	45.629229324	9.296848551	188.0			
T	45.629179768	9.296855702	188.0			
T	45.629128758	9.296862105	188.0			
T	45.629078983	9.296868795	187.9			
T	45.629029839	9.296872870	187.9			
T	45.628984976	9.296881000	187.9			
T	45.628934582	9.296886021	187.8			
T	45.628867430	9.296895378	187.8			
T	45.628806816	9.296907057	187.9			
T	45.628747845	9.296912289	187.9			
T	45.628704547	9.296920462	187.9			
T	45.628656769	9.296925107	187.9			
T	45.628611170	9.296926286	187.9			
T	45.628573387	9.296924294	187.9			
T	45.628546592	9.296916727	187.9			
T	45.628533591	9.296911581	187.9			
T	45.628517125	9.296907305	187.9			
T	45.628497644	9.296900096	187.8			
T	45.628485392	9.296892862	187.8			
T	45.628472224	9.296885983	187.8			
T	45.628461060	9.296878945	187.8			
